SAMPLE.309.GA5.60 SAMPLE.311.GA6.60 SAMPLE.313.GA7.60 SAMPLE.315.GA8.60 SAMPLE.317.GP.5.60 SAMPLE.319.GP.6.60 SAMPLE.321.GP.7.60 SAMPLE.323.GP.8.60 SAMPLE.327.GF.II6.60 SAMPLE.329.GF.II.7.60 SAMPLE.331.GF.II.8.60 SAMPLE.405.MA5.60 SAMPLE.407.MA6.60 SAMPLE.409.MA7.60 SAMPLE.411.MA8.60 SAMPLE.413.MP.5.60 SAMPLE.415.MP.6.60 SAMPLE.417.MP.7.60 SAMPLE.419.MP.8.60 SAMPLE.421.MF.II.5.60 SAMPLE.423.MF.II6.60 SAMPLE.425.MF.II.7.60 SAMPLE.427.MF.II.8.60
OTU_201 2 7 6 24 5 2 42 17 43 48 71 0 0 2 1 1 0 0 1 1 1 3 0
OTU_202 8 4 3 20 2 0 27 17 1 1 2 4 0 2 6 2 34 56 47 4 3 26 4
OTU_203 1 0 0 3 1 0 2 1 1 1 2 26 6 13 17 6 5 12 6 16 3 28 8
OTU_204 4 0 0 4 0 0 1 1 1 1 0 18 10 13 24 3 17 32 12 25 13 21 5
OTU_205 2 8 1 13 0 1 4 4 0 2 1 1 2 1 1 2 20 8 13 31 15 21 9
OTU_206 11 0 2 13 1 0 9 6 1 1 0 14 4 5 15 0 40 31 41 3 1 9 1
OTU_207 0 0 1 5 0 0 8 6 0 2 3 1 1 3 4 10 3 4 10 35 4 16 4
OTU_208 1 0 1 4 1 0 3 3 1 1 0 13 3 9 12 5 12 13 6 5 2 9 3
OTU_209 15 1 1 16 0 1 1 1 1 0 0 0 1 0 1 11 13 2 6 4 8 6 1
OTU_210 0 0 0 7 1 2 18 10 0 2 2 1 0 1 2 1 8 3 13 37 28 43 21
OTU_211 4 8 2 27 6 2 42 20 3 3 2 8 1 4 7 17 19 19 12 14 4 13 7
OTU_212 0 20 24 73 13 1 32 22 2 1 1 1 0 2 2 2 0 1 0 7 0 4 4
OTU_213 0 9 3 3 1 1 2 0 3 43 137 0 0 0 1 1 1 1 0 1 0 1 1
OTU_214 1 10 5 20 5 1 24 13 1 0 0 0 0 1 1 0 3 0 0 12 2 21 4
OTU_215 1 5 3 16 4 0 31 14 2 5 1 3 1 3 2 4 61 43 37 6 0 2 1
OTU_216 1 3 2 13 3 2 11 6 0 0 1 0 0 1 1 3 4 2 3 3 3 11 9
OTU_217 3 0 3 5 3 0 10 10 1 3 0 8 1 5 5 8 17 9 6 19 7 24 4
OTU_218 8 1 2 18 6 1 16 7 2 1 0 18 4 12 36 8 19 36 27 8 3 14 6
OTU_219 3 1 3 7 5 0 12 9 4 8 5 39 13 20 38 32 11 24 16 39 14 30 16
OTU_220 13 12 22 44 10 16 89 89 7 15 55 17 12 13 28 11 19 24 25 14 7 16 10
OTU_221 7 3 3 9 5 3 14 17 1 8 0 1 3 0 3 3 17 11 9 29 9 29 12
OTU_222 14 9 11 33 8 8 57 21 15 8 20 8 2 4 6 11 12 14 22 85 17 89 20
OTU_223 1 4 2 18 1 0 10 5 27 32 98 1 0 1 1 0 2 2 0 4 1 3 0
OTU_224 2 0 0 0 0 0 0 2 1 0 1 6 2 9 6 29 1 16 2 0 0 1 4
OTU_225 1 0 0 2 0 0 0 0 2 2 1 7 5 13 15 4 3 4 2 2 0 0 1
OTU_226 0 0 0 1 0 0 0 0 0 4 3 38 13 25 43 6 0 10 1 0 2 3 0
