SAMPLE.745.GA5.60 SAMPLE.747.GA6.60 SAMPLE.749.GA7.60 SAMPLE.751.GA8.60 SAMPLE.753.GP.5.60 SAMPLE.755.GP.6.60 SAMPLE.757.GP.7.60 SAMPLE.759.GP.8.60 SAMPLE.761.GF.II.5.60 SAMPLE.763.GF.II6.60 SAMPLE.765.GF.II.7.60 SAMPLE.841.MA5.60 SAMPLE.843.MA6.60 SAMPLE.845.MA7.60 SAMPLE.847.MA8.60 SAMPLE.849.MP.5.60 SAMPLE.851.MP.6.60 SAMPLE.853.MP.7.60 SAMPLE.855.MP.8.60 SAMPLE.857.MF.II.5.60 SAMPLE.859.MF.II6.60 SAMPLE.861.MF.II.7.60 SAMPLE.863.MF.II.8.60
OTU_180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 17 0
OTU_181 0 0 0 0 1 0 0 1 0 29 3 1 0 0 0 0 0 0 0 0 0 0 0
OTU_182 1 2 1 6 0 0 0 1 0 0 0 5 0 7 21 1 0 1 1 0 7 2 1
OTU_183 0 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 3 1 28 22 1
OTU_184 0 0 0 0 0 0 0 0 0 18 0 0 0 0 1 0 0 0 0 1 0 0 0
OTU_185 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 2 31 14
OTU_186 0 0 0 0 0 0 0 0 0 0 0 13 1 2 6 1 0 0 0 0 0 0 1
OTU_187 22 0 0 0 0 0 0 1 0 0 1 4 1 1 3 0 0 0 0 0 0 0 0
OTU_188 0 2 2 6 0 0 0 0 0 0 0 0 0 0 0 24 11 1 1 0 0 0 0
OTU_189 8 1 0 0 1 0 19 6 0 0 0 0 0 1 0 2 0 21 0 2 0 0 0
OTU_190 0 1 0 0 0 0 0 0 0 0 0 6 5 5 0 0 1 5 5 0 0 0 0
OTU_191 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 40 6 0 1
OTU_192 5 0 0 0 0 0 0 0 0 0 0 13 10 0 1 1 0 0 0 0 0 0 0
OTU_193 0 0 0 0 0 0 1 3 0 0 1 0 0 0 0 3 0 4 5 0 0 3 0
OTU_194 0 0 0 2 27 7 8 8 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0
OTU_195 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 28 3 10
OTU_196 0 0 0 0 1 0 0 0 0 0 0 14 3 7 18 0 0 0 1 0 0 0 0
OTU_197 0 0 1 13 0 1 22 6 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0
OTU_198 0 0 0 0 1 0 0 0 3 36 1 0 0 0 0 0 0 1 0 0 0 0 0
OTU_199 0 0 0 0 0 1 0 0 0 1 0 0 3 19 19 0 0 0 0 0 0 0 0
OTU_200 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 65 2 17 0 0 0 0
OTU_201 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 55
OTU_202 2 0 0 1 1 0 0 1 0 0 0 1 0 0 2 1 0 1 0 20 9 3 0
OTU_203 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 96 0 0 0 0 1 0
OTU_204 0 0 0 0 31 11 22 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
OTU_205 4 2 0 7 1 0 7 0 0 0 1 0 0 0 1 0 0 0 18 1 0 1 1
OTU_206 0 0 0 0 1 0 0 0 0 0 1 0 0 0 5 0 0 0 0 7 32 20 21
OTU_207 0 0 0 0 68 4 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0
OTU_209 1 0 0 0 0 0 0 0 0 0 0 11 3 6 12 1 0 0 0 0 0 0 0
OTU_211 0 0 0 0 0 2 0 11 0 1 1 1 0 0 0 3 15 4 4 0 0 0 0
OTU_212 0 0 0 0 0 0 0 0 2 0 0 6 1 13 4 0 0 0 0 0 0 0 0
OTU_213 0 0 0 0 0 0 0 0 0 1 0 6 0 3 9 0 0 0 0 0 0 1 0
